date,temperature,uncertainty,month,year
1778-06-01,11.731,3.975,6,1778
1778-07-01,15.037,2.216,7,1778
1778-08-01,12.869000000000002,2.658,8,1778
1778-09-01,13.377,2.35,9,1778
1778-10-01,8.049,3.608,10,1778
1778-11-01,3.854,2.675,11,1778
1778-12-01,2.101,2.361,12,1778
1779-01-01,1.4700000000000002,2.802,1,1779
1779-02-01,5.14,4.959,2,1779
1779-03-01,6.9670000000000005,3.017,3,1779
1779-04-01,9.965,3.0860000000000003,4,1779
1779-05-01,14.18,1.863,5,1779
1779-06-01,12.547,2.14,6,1779
1779-07-01,13.659,1.858,7,1779
1779-08-01,13.799,1.4780000000000002,8,1779
1779-09-01,12.683,1.809,9,1779
1779-10-01,9.35,1.544,10,1779
1779-11-01,5.7700000000000005,2.258,11,1779
1779-12-01,2.269,3.256,12,1779
1780-01-01,2.515,3.438,1,1780
1780-02-01,4.08,3.179,2,1780
1780-03-01,5.724,2.381,3,1780
1780-04-01,13.732,3.0580000000000003,4,1780
1780-05-01,15.756999999999998,1.419,5,1780
1780-06-01,14.747,2.9810000000000003,6,1780
1780-07-01,16.183,1.3,7,1780
1780-08-01,12.947,3.131,8,1780
1780-09-01,8.844,2.104,9,1780
1780-10-01,9.376,1.873,10,1780
1780-11-01,6.706,2.596,11,1780
1780-12-01,2.584,3.5580000000000003,12,1780
1781-01-01,2.401,4.948,1,1781
1781-02-01,2.267,3.5810000000000004,2,1781
1781-03-01,4.772,2.443,3,1781
1781-04-01,6.922999999999999,2.076,4,1781
1781-05-01,11.102,1.838,5,1781
1781-06-01,11.678,1.385,6,1781
1781-07-01,14.285,1.696,7,1781
1781-08-01,14.140999999999998,1.004,8,1781
1781-09-01,10.303999999999998,3.69,9,1781
1781-10-01,8.546999999999999,1.2819999999999998,10,1781
1781-11-01,7.523,1.676,11,1781
1781-12-01,3.2880000000000003,4.427,12,1781
1782-01-01,0.3410000000000002,3.547,1,1782
1782-02-01,0.6389999999999998,4.862,2,1782
1782-03-01,2.565,2.221,3,1782
1782-04-01,8.617999999999999,2.154,4,1782
1782-05-01,10.989999999999998,1.474,5,1782
1782-06-01,13.800999999999998,1.517,6,1782
1782-07-01,13.925,2.96,7,1782
1782-08-01,15.683,2.487,8,1782
1782-09-01,12.398,1.7280000000000002,9,1782
1782-10-01,8.978,1.826,10,1782
1782-11-01,4.956,2.4730000000000003,11,1782
1782-12-01,1.921,3.358,12,1782
1783-01-01,-1.4310000000000005,5.292999999999998,1,1783
1783-02-01,5.2940000000000005,3.683,2,1783
1783-03-01,4.799,2.597,3,1783
1783-04-01,8.574,1.564,4,1783
1783-05-01,11.819,2.906,5,1783
1783-06-01,14.34,1.541,6,1783
1783-07-01,13.069,1.3430000000000002,7,1783
1783-08-01,13.970999999999998,1.6130000000000002,8,1783
1783-09-01,9.957999999999998,1.439,9,1783
